X,Y,Z
-2.1172170639038086,-1.2227671146392822,1.948728322982788
-1.955567717552185,-1.2398194074630737,2.014901876449585
-1.9816949367523193,-0.9976862668991089,2.0502636432647705
-2.1137027740478516,-0.9556408524513245,1.9907892942428589
-2.242704153060913,-0.8521753549575806,1.9686977863311768
-2.3637161254882812,-0.9796656966209412,1.896740198135376
-2.233128309249878,-0.9226365089416504,1.854099988937378
-2.3102807998657227,-1.2513835430145264,1.7995197772979736
-2.2273290157318115,-1.1054607629776,1.8413909673690796
-2.2325382232666016,-1.1370457410812378,1.7774425745010376
-2.7191104888916016,-1.1179152727127075,1.8280234336853027
-2.2844977378845215,-0.336725115776062,1.985749363899231
-2.3809654712677,-0.36443451046943665,2.102414608001709
-2.2025818824768066,-0.46731477975845337,2.1557650566101074
-2.2440640926361084,-0.4780140221118927,2.139692783355713
-2.343259334564209,-0.558185875415802,2.2590579986572266
-2.2791523933410645,-0.32418292760849,2.271059513092041
-2.018670082092285,-0.32924413681030273,2.224503517150879
-2.1048696041107178,-0.5224711298942566,2.261427402496338
-1.9288690090179443,-0.751556932926178,2.1742966175079346
-2.099980354309082,-0.7998427152633667,2.30795955657959
-2.0806822776794434,-0.6979585289955139,2.2353341579437256
-2.1314520835876465,-0.7062395811080933,2.2348546981811523
-2.2140023708343506,-0.6031733155250549,2.1387746334075928
-2.3327832221984863,-0.7653998732566833,2.18210506439209
-2.4437928199768066,-0.6006178855895996,2.1674904823303223
-2.4661865234375,-0.7220146059989929,2.1672451496124268
-2.777226448059082,-0.7360544800758362,2.1904170513153076
-2.648272752761841,-0.7396750450134277,1.9858145713806152
-2.8860907554626465,-0.6299344301223755,2.0924715995788574
-2.4405672550201416,-0.7802664637565613,1.9009950160980225
-2.4071295261383057,-0.7422230243682861,1.9802855253219604
-2.4780523777008057,-0.6862903237342834,2.075920820236206
-2.632049083709717,-0.7178446650505066,2.0215446949005127
-2.511681318283081,-0.4429340064525604,1.9838247299194336
-2.6371102333068848,-0.5447515845298767,2.049992084503174
-2.6466879844665527,-0.426162451505661,2.005906820297241
-2.468430757522583,-0.4242386221885681,2.0413877964019775
-2.7488958835601807,-0.5525901913642883,2.203129768371582
-2.7630932331085205,-0.4684733748435974,2.2205870151519775
-2.841442823410034,-0.3674403131008148,2.2275545597076416
-2.6330068111419678,-0.420814573764801,2.2199621200561523
-2.4090378284454346,-0.21840745210647583,2.291989803314209
-2.6449921131134033,-0.23882360756397247,2.1837053298950195
-2.607461452484131,-0.2715328335762024,2.2269287109375
-2.822458028793335,-0.2568358778953552,2.3315601348876953
-2.7825348377227783,-0.20507724583148956,2.2575953006744385
-2.4491677284240723,-0.10921286791563034,2.078810930252075
-2.707520008087158,-0.028412798419594765,2.3334720134735107
-2.8681435585021973,-0.045702654868364334,2.307936429977417
-2.535330295562744,-0.0412752628326416,2.226602077484131
-2.49775767326355,0.07834015786647797,2.1808271408081055
-2.2203590869903564,-0.03221515193581581,2.139521360397339
-2.1833293437957764,0.0232688020914793,2.196657180786133
-2.13698673248291,-0.18492239713668823,2.279127836227417
-2.1131818294525146,-0.3056810796260834,2.281005620956421
-2.331437110900879,-0.07697006314992905,2.113736867904663
-2.2024295330047607,-0.2395457625389099,2.08131742477417
-2.276834726333618,-0.20302662253379822,2.065295934677124
-2.1151082515716553,-0.269258975982666,2.059316873550415
-2.9387314319610596,-0.7302611470222473,2.0500216484069824
-3.102484703063965,-0.6108168959617615,2.0770342350006104
-3.0391201972961426,-0.5853652954101562,2.052233934402466
-3.1883773803710938,-0.5346457362174988,2.3343424797058105
-3.3560636043548584,-0.5361223220825195,2.30949330329895
-2.9992799758911133,-0.3814504146575928,2.3123202323913574
-3.1040170192718506,-0.34477344155311584,2.1793646812438965
-3.110283851623535,-0.5393219590187073,2.1469104290008545
-2.9001524448394775,-0.4750886559486389,2.169283628463745
-3.0286881923675537,-0.4644375443458557,2.323544502258301
-3.105576992034912,-0.5625340938568115,2.2799019813537598
-2.969095230102539,-0.5600650310516357,2.118346691131592
-3.022901773452759,-0.70742267370224,2.201017379760742
-3.0056891441345215,-0.7438836097717285,2.2694201469421387
-3.184767246246338,-0.6880620718002319,2.139241933822632
-3.25803804397583,-0.7525366544723511,2.2234504222869873
-3.261808156967163,-0.715989351272583,2.293337106704712
-3.4771125316619873,-0.7646523714065552,2.2319352626800537
-3.3983802795410156,-0.5726935863494873,2.276813507080078
-3.3836069107055664,-0.7362782955169678,2.2133376598358154
-3.442847967147827,-0.792052149772644,2.1512722969055176
-3.5040621757507324,-0.6138732433319092,2.3235206604003906
-3.5034070014953613,-0.47714635729789734,2.2920241355895996
-3.218416690826416,-0.14314736425876617,2.309194326400757
-3.110671281814575,-0.31397178769111633,2.2999017238616943
-3.0521786212921143,-0.20747992396354675,2.276589870452881
-2.8912129402160645,-0.15476487576961517,2.338365316390991
-2.9592583179473877,-0.27528443932533264,2.1654627323150635
-2.9489505290985107,-0.01726772077381611,2.325866222381592
-3.0589182376861572,-0.05052534118294716,2.3153328895568848
-2.9785821437835693,0.04500618949532509,2.452108860015869
-2.9908511638641357,-0.06153174862265587,2.570307493209839
-3.0496716499328613,-0.06631665676832199,2.5039355754852295
-3.1167070865631104,0.1492890566587448,2.4636099338531494
-2.9063880443573,0.05780339241027832,2.4701995849609375
-2.9563333988189697,0.1545879989862442,2.7094147205352783
-3.11276912689209,-0.02754710055887699,2.6697826385498047
-3.091148614883423,-0.06596969813108444,2.6675102710723877
-2.948578357696533,0.02855580672621727,2.80688738822937
-3.000033140182495,0.027535896748304367,2.6857259273529053
-2.9967501163482666,-0.13021442294120789,2.612778663635254
-3.0698490142822266,-0.23278281092643738,2.7214431762695312
-3.03195858001709,-0.19632525742053986,2.8046066761016846
-2.925673484802246,-0.19697703421115875,2.694639205932617
-2.970712423324585,-0.20518051087856293,2.4677042961120605
-3.107069492340088,-0.16261157393455505,2.380368709564209
-3.043692111968994,-0.26322704553604126,2.5012598037719727
-3.2468066215515137,-0.19677752256393433,2.507925271987915
-3.1651854515075684,-0.18891380727291107,2.492666006088257
-3.3224997520446777,-0.12795308232307434,2.5715432167053223
-3.362205982208252,-0.2406584620475769,2.414486885070801
-3.343179225921631,-0.25953564047813416,2.697129011154175
-3.1635632514953613,-0.21405531466007233,2.7623343467712402
-3.3038737773895264,-0.08400610089302063,2.8168704509735107
-3.340869903564453,-0.10407886654138565,2.776148557662964
-3.3559625148773193,0.004095946438610554,2.73879075050354
-3.253990650177002,0.010701959952712059,2.6261746883392334
-3.182573080062866,0.06852810084819794,2.7016053199768066
-3.3135757446289062,0.1205306351184845,2.7055015563964844
-3.14046049118042,0.0844866931438446,2.4932591915130615
-3.2190537452697754,-0.027711495757102966,2.4974420070648193
-3.4032649993896484,0.10054304450750351,2.8064584732055664
-3.3885581493377686,0.09191355854272842,2.623837947845459
-3.4292562007904053,-0.06243768706917763,2.7451725006103516
-3.4555745124816895,-0.15174967050552368,2.6107256412506104
-3.4836416244506836,-0.21361936628818512,2.6948482990264893
-3.444955348968506,-0.5049948692321777,2.481257438659668
-3.4244229793548584,-0.355801522731781,2.6317782402038574
-3.516277313232422,-0.4723849296569824,2.6732702255249023
-3.5284676551818848,-0.6189984083175659,2.7126195430755615
-3.4923384189605713,-0.6474630236625671,2.6891703605651855
-3.5374250411987305,-0.7986375093460083,2.591500759124756
-3.502067804336548,-0.7901552319526672,2.7087926864624023
-3.5450501441955566,-0.6181516051292419,2.563380002975464
-3.4021458625793457,-0.6683955192565918,2.5626251697540283
-3.385822296142578,-0.6098549365997314,2.4263994693756104
-3.3961007595062256,-0.7500492930412292,2.424891233444214
-3.3921878337860107,-0.7599675059318542,2.365332841873169
-3.3014371395111084,-0.7687483429908752,2.524045467376709
-3.2304790019989014,-0.6591218113899231,2.5049021244049072
-3.1741576194763184,-0.7365935444831848,2.467700958251953
-3.0617427825927734,-0.78502357006073,2.397251844406128
-2.949747085571289,-0.6851963996887207,2.474961042404175
-3.0940489768981934,-0.6660425066947937,2.464664936065674
-3.087548017501831,-0.6053536534309387,2.4933977127075195
-2.8953640460968018,-0.6554463505744934,2.389488935470581
-2.923530101776123,-0.47572267055511475,2.3603007793426514
-3.0117154121398926,-0.4553650915622711,2.4985036849975586
-2.9959449768066406,-0.46706071496009827,2.562342882156372
-2.9381864070892334,-0.3856126368045807,2.4808099269866943
-3.300558090209961,-0.36340928077697754,2.38724684715271
-3.261760711669922,-0.3520153760910034,2.438976287841797
-3.248844623565674,-0.5322375297546387,2.354633092880249
-3.181339740753174,-0.4999051094055176,2.5515244007110596
-3.2295658588409424,-0.5531734824180603,2.5286166667938232
-3.3295469284057617,-0.4152224361896515,2.529181718826294
-3.372727394104004,-0.32933586835861206,2.4977896213531494
-3.2539010047912598,-0.3855544328689575,2.6414523124694824
-3.3133044242858887,-0.47256824374198914,2.6797711849212646
-3.266171455383301,-0.45398449897766113,2.729461193084717
-3.139002561569214,-0.3676281273365021,2.7230234146118164
-2.924341917037964,-0.37095800042152405,2.729224920272827
-3.1147608757019043,-0.3679313659667969,2.6008799076080322
-3.057955265045166,-0.33697983622550964,2.6561174392700195
-3.0357425212860107,-0.5084449052810669,2.7801496982574463
-3.0606908798217773,-0.5412103533744812,2.76461124420166
-2.9536490440368652,-0.6636509895324707,2.7757372856140137
-3.112639904022217,-0.6472344398498535,2.6978702545166016
-2.9953906536102295,-0.7256147265434265,2.760023355484009
-3.1906139850616455,-0.6509025692939758,2.716238021850586
-3.298182725906372,-0.6963100433349609,2.7539608478546143
-3.322053909301758,-0.7642527222633362,2.7678627967834473
-3.355217933654785,-0.5742256045341492,2.889251708984375
-3.2781565189361572,-0.5953406691551208,2.8509466648101807
-3.2132201194763184,-0.5746208429336548,2.9929049015045166
-3.1955556869506836,-0.6594709753990173,3.0251052379608154
-3.029350757598877,-0.7979303002357483,2.957385540008545
-3.0348618030548096,-0.7365487217903137,2.9515838623046875
-3.014816999435425,-0.5345554351806641,2.9166362285614014
-2.942471742630005,-0.5082924365997314,2.9768409729003906
-3.0355708599090576,-0.4860438108444214,3.0586957931518555
-3.008587121963501,-0.32896462082862854,2.8864099979400635
-3.1995646953582764,-0.32770994305610657,2.8395283222198486
-3.178128719329834,-0.4643400013446808,2.9257774353027344
-3.1359338760375977,-0.4218233525753021,3.0851151943206787
-3.3420605659484863,-0.35569751262664795,3.0856690406799316
-3.075408458709717,-0.3506316542625427,3.1008143424987793
-3.1013264656066895,-0.49092167615890503,3.0780839920043945
-3.507192611694336,-0.7210879325866699,2.8926358222961426
-3.3919756412506104,-0.524053156375885,2.9110195636749268
-3.4416496753692627,-0.3074306547641754,2.8778820037841797
-3.380542755126953,-0.2680344879627228,2.9419543743133545
-3.3843536376953125,0.06972169876098633,3.039508819580078
-3.260357618331909,0.06635501980781555,3.235786199569702
-3.1504318714141846,0.1540008932352066,3.205329656600952
-3.221691131591797,0.13390472531318665,3.232478618621826
-3.267280101776123,0.04329706355929375,3.07789945602417
-3.354292631149292,-0.18370620906352997,2.93379282951355
-3.182119131088257,-0.09929754585027695,2.837665319442749
-3.1619060039520264,-0.09377957135438919,2.9035208225250244
-3.152472734451294,-0.14757108688354492,3.0220425128936768
-3.2519371509552,-0.281456857919693,3.0023319721221924
-3.2678322792053223,-0.1289442479610443,3.131849765777588
-3.14884614944458,-0.14483408629894257,3.206937313079834
-3.1408069133758545,-0.3053254187107086,3.188659429550171
-3.0763278007507324,-0.08808485418558121,3.2306582927703857
-2.9920098781585693,-0.2311033457517624,3.0748298168182373
-2.940833330154419,-0.27520453929901123,3.035914421081543
-2.9916131496429443,-0.22115641832351685,2.868678092956543
-2.930335283279419,-0.13563381135463715,2.9461772441864014
-2.978159189224243,-0.07810851186513901,3.0066308975219727
-2.9393224716186523,0.03291814774274826,3.030144691467285
-3.014051914215088,0.00942037720233202,2.8525943756103516
-2.976208209991455,0.12185384333133698,2.894179105758667
-2.985947847366333,-0.04166492447257042,3.1274564266204834
-2.8945648670196533,0.011640994809567928,3.2779297828674316
-2.674825429916382,0.0931839868426323,3.2143943309783936
-2.7435193061828613,0.11886831372976303,3.1094789505004883
-2.79779052734375,0.04917256906628609,3.070420742034912
-2.8735086917877197,-0.037284985184669495,3.1836752891540527
-2.6551129817962646,0.005733307916671038,3.0805015563964844
-2.6592483520507812,-0.09314723312854767,3.149355888366699
-2.8141772747039795,-0.2889648675918579,3.150362968444824
-2.6899638175964355,-0.11960190534591675,3.0379109382629395
-2.8196160793304443,0.01168337557464838,2.891159772872925
-2.7614688873291016,0.1470358520746231,2.9429805278778076
-2.7532055377960205,-0.05967992544174194,2.853677749633789
-2.5261738300323486,0.09398039430379868,2.919482946395874
-2.5895731449127197,-0.23201729357242584,2.9239022731781006
-2.410869836807251,-0.09016846865415573,3.144798517227173
-2.50803804397583,-0.11202315986156464,3.107550621032715
-2.443176031112671,-0.22164778411388397,3.075798273086548
-2.538780450820923,-0.23344533145427704,3.2443270683288574
-2.4933273792266846,-0.2485026866197586,3.276329278945923
-2.4386203289031982,0.04261025786399841,3.2641549110412598
-2.491846799850464,0.056958287954330444,3.155102252960205
-2.269867181777954,0.10117366164922714,3.1812450885772705
-2.0449931621551514,0.13298457860946655,3.198995590209961
-2.080744743347168,-0.03050854057073593,3.107262134552002
-2.0652687549591064,0.0478653684258461,3.196181058883667
-2.009333372116089,-0.08473613858222961,3.207482099533081
-2.123929262161255,-0.0777934342622757,3.0967979431152344
-1.9799580574035645,-0.2740243673324585,3.087331771850586
-2.1724929809570312,-0.1386125087738037,3.293726921081543
-2.2455034255981445,-0.2380506992340088,2.9867756366729736
-2.2476017475128174,-0.15647242963314056,2.989499807357788
-2.227513313293457,-0.07791664451360703,2.963538408279419
-2.1320831775665283,-0.22796203196048737,3.0061376094818115
-1.9397387504577637,-0.0369262769818306,2.986807107925415
-2.136293888092041,0.163426011800766,3.017254590988159
-1.9649657011032104,0.11986640095710754,2.9409170150756836
-2.290260076522827,0.10541819036006927,2.9159369468688965
-2.284344434738159,-0.04801521077752113,2.74656343460083
-2.281205415725708,0.1577366590499878,2.599788188934326
-2.280924081802368,0.12381532788276672,2.7801036834716797
-2.0020291805267334,-0.046680696308612823,2.6852495670318604
-2.09834361076355,-0.052952222526073456,2.804396629333496
-2.1140074729919434,0.04793427139520645,2.795403003692627
-1.948317050933838,-0.2349046915769577,2.612931966781616
-2.343914031982422,-0.1948767751455307,2.7314651012420654
-2.2199771404266357,-0.09220752120018005,2.8190948963165283
-2.36995267868042,-0.28795233368873596,2.679494619369507
-2.1665923595428467,-0.23762604594230652,2.5481936931610107
-2.255941867828369,-0.18729203939437866,2.4069933891296387
-2.3791041374206543,-0.14044857025146484,2.3747031688690186
-2.086184501647949,-0.15725958347320557,2.5451390743255615
-2.132232666015625,-0.12775611877441406,2.5245554447174072
-1.9884697198867798,-0.10786562412977219,2.548151969909668
-1.9735773801803589,-0.167991042137146,2.380628824234009
