step,sec,dump
60,4.184,Nsync-grv=   1007891 Nsync-hyd=    592399  r********************************tttttttttttttttttttxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXeeeEcCC9999999HHHHH[[[[yyyyy++"?A00017
61,0.498,Nsync-grv=     41067 Nsync-hyd=     11650  ::::rrDE************************tttttttttttttttttxxxxxxxxxxxXXXXXXXXXXXXXXXXE99Hy+++++++++++++++++++++++l"""oo???A)K7---
62,2.480,Nsync-grv=    575416 Nsync-hyd=    325173  :*******************************************ttttttttttttttttxxxxxxXXXXXXXXXXXXXXXXeeEEccCC9999999HHHH[[[yyyyy++++"?000KF
63,0.597,Nsync-grv=     40955 Nsync-hyd=     11170  :::rrE***************tttttttttttttttttttxxxxxxxxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXXeC9Hy++++++++++++++++++++"""o??A0kF--
64,4.422,Nsync-grv=   1600000 Nsync-hyd=    592302  r********************************************ttttttttttttttttxxxxxxxxxxxxXXXXXXXXXXDeeEccC999999999HHH[[[[yyy+++??A00017
65,0.507,Nsync-grv=     40838 Nsync-hyd=     10724  ::::rrDE***********************tttttttttttttttttxxxxxxxxxxxXXXXXXXXXXXXXXXXXE99[y+++++++++++++++++++++++"""oo??AA0kF----
66,2.491,Nsync-grv=    575862 Nsync-hyd=    325055  :E******************************************ttttttttttttttttxxxxxxXXXXXXXXXXXXXXXXXeeEEccCJ9999999HHHH[[yyyy+++++"?0001F
67,0.398,Nsync-grv=     40832 Nsync-hyd=     10363  :::::rDE**********************************tttttttttttttxxxxxxXXXXXXXXXXXXXXeJ9Hy+++++++++++++++++++++++++l""""oo??A)KT--
68,4.025,Nsync-grv=   1007883 Nsync-hyd=    591390  r**********************************ttttttttttttttttttxxxxxxxxxxxXXXXXXXXXXXXXXXXXheeEEcCC99999999HHHHH[[[yyyy++"?A000017
69,0.449,Nsync-grv=     40972 Nsync-hyd=     10181  :::rrrDEe******************************tttttttttttttxxxxxxxXXXXXXXXXXXXeC9H[+++++++++++++++++++++++++l"""oo???AA0KF-----
70,2.581,Nsync-grv=    576231 Nsync-hyd=    324905  :e**************************************ttttttttttttttttxxxxxxxxxxXXXXXXXXXXXXXeeEEcccCJ9999999HHHH[[[[[yyyy++++"?A0001F
71,0.450,Nsync-grv=     41163 Nsync-hyd=     10093  ::::rDde**************************ttttttttttttttttxxxxxxxxxXXXXXXXXXXXXXXXXe99H+++++++++++++++++++++++++++l""""o??A)K7--
72,4.018,Nsync-grv=   1108092 Nsync-hyd=    591355  r****************************************tttttttttttttttxxxxxxxXXXXXXXXXXXXXXXeeeEEccC99999999HHHHH[[[[[yyyy+++??00000TF
73,0.395,Nsync-grv=     41288 Nsync-hyd=      9935  :::::rDE************************************ttttttttttttxxxxxXXXXXXXXXXXXE99[+++++++++++++++++++++++++++l"""""oo??AA0kF-
74,2.693,Nsync-grv=    576733 Nsync-hyd=    324868  :***********************************tttttttttttttttttttxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXeeEccC9999999HHHH[[[yyyy+++l?A001F
75,0.458,Nsync-grv=     41483 Nsync-hyd=      9855  ::::rDE**************************tttttttttttttttttxxxxxxxxxxXXXXXXXXXXXXXXXXXe99[+++++++++++++++++++++++++""""o???A)0kF-
76,4.092,Nsync-grv=   1007858 Nsync-hyd=    590449  r**********************************ttttttttttttttttttxxxxxxxxxxxXXXXXXXXXXXXXXXXXeeEEcccC99999999HHHH[[[[yyy+++"??)000T7
77,0.419,Nsync-grv=     41607 Nsync-hyd=      9793  :::::rDE*********************************ttttttttttttttxxxxxXXXXXXXXXXXXXXeC99[++++++++++++++++++++++++l""""o??AAA0K7---
78,2.481,Nsync-grv=    577258 Nsync-hyd=    324824  :*****************************************tttttttttttttttttttxxxxxxxxxxXXXXXXXXXXXXXXXXXeeeECJ9999999HHHH[yyy+++++o?00kF
79,0.521,Nsync-grv=     41769 Nsync-hyd=      9754  ::::rrDE**************************ttttttttttttttttxxxxxxxxxxxXXXXXXXXXXXXXXXE9H[[++++++++++++++++++++++++"""oo??AA0KF---
80,3.861,Nsync-grv=   1296894 Nsync-hyd=    590352  :*************************************************tttttttttttttxxxxxXXXXXXXXXXXXXeeeeEC9999999999HHH[yyyy+++o?A000000017
81,0.479,Nsync-grv=     41791 Nsync-hyd=      9746  ::::rDde***************************ttttttttttttttttxxxxxxxxxxXXXXXXXXXXXXXXXXXe99[++++++++++++++++++++++++l"""o??AA0KF--
