step,sec,dump
97,0.795,Nsync-grv=     42161 Nsync-hyd=      9853  :::::rDE****************************************tttttttttttttttxxxxxxXXXXXXXXXXXXX#C9Hy++++++++++++++++++l"""""o??AA0T--
98,4.660,Nsync-grv=    578720 Nsync-hyd=    323547  :************************************************tttttttttttttttxxxxxxxxxxxxXXXXXXXXeeeEEcC99999999HHHH[[[[yyy+++"o?00KF
99,0.946,Nsync-grv=     42180 Nsync-hyd=      9828  :::::rDE**************************tttttttttttttttttttxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXe9H[+++++++++++++++++""""o??AA0kF--
100,7.832,Nsync-grv=   1007771 Nsync-hyd=    587133  r************************************tttttttttttttttttttxxxxxxxxxxxxxXXXXXXXXXXXXXXXXeeeEcCJ99999999HHHH[[yyy+++??A000TF
101,0.771,Nsync-grv=     42120 Nsync-hyd=      9794  :::::rrDE*****************************************tttttttttttttxxxxXXXXXXXXXXXXc99Hy+++++++++++++++++++l"""""o??AA0KF---
102,4.510,Nsync-grv=    578917 Nsync-hyd=    323309  :*************************************************tttttttttttttttttxxxxxxxXXXXXXXXXXXXXXXXeeeEC999999999HHH[yyy+++"?0007
103,0.835,Nsync-grv=     42082 Nsync-hyd=      9763  :::::rD*********************************tttttttttttttttttxxxxxxxxxxXXXXXXXXXXXXXXXXE99Hy++++++++++++++++++l""""o??AA0KF-
104,7.433,Nsync-grv=   1108011 Nsync-hyd=    587125  :********************************************tttttttttttttttxxxxxxxXXXXXXXXXXXXXXXeeeEcC999999999HHHH[[yyyy+++??A0000017
105,0.888,Nsync-grv=     42219 Nsync-hyd=      9787  :::::rrDe*************************************tttttttttttttxxxxXXXXXXXXXXXXEC9H[y++++++++++++++++++++++l""""oo??AA0KF---
106,4.891,Nsync-grv=    578746 Nsync-hyd=    322863  :****************************************tttttttttttttttttttttxxxxxxxxxxxxxxxxxxXXXXXXXXXXXXeeeEC99999999HH[[yy+++"?0007
107,0.873,Nsync-grv=     42282 Nsync-hyd=      9813  :::::rDE***********************************ttttttttttttttttxxxxxxxxxxXXXXXXXXXXXXeC9H++++++++++++++++++++""""oo??AIKF---
108,6.883,Nsync-grv=   1007766 Nsync-hyd=    586258  :***********************************************tttttttttttttttxxxxxXXXXXXXXXXXXXXDeeeEcC9999999999HHH[[yyyy++"??A0001T7
109,0.940,Nsync-grv=     42317 Nsync-hyd=      9789  ::::rrd******************************ttttttttttttttttttxxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXE9H[+++++++++++++++++""""o??A)KF--
110,5.496,Nsync-grv=    578666 Nsync-hyd=    322418  :*********************************ttttttttttttttttttttttxxxxxxxxxxxxxxxxxxxxxxxxXXXXXXXXXXXeeEEcC9999999HHH[[yy++++o?007
111,1.160,Nsync-grv=     42332 Nsync-hyd=      9787  :::rrDe******************ttttttttttttttttttttxxxxxxxxxxxxxxxxxxxxxxxxxXXXXXXXXXXXXXXXXXXeC9[y+++++++++++++++"""o?AAKF---
112,7.539,Nsync-grv=   1297161 Nsync-hyd=    586279  :*************************************************tttttttttttttttxxxxxXXXXXXXXXXXXXXeeeEEcC999999999HHHH[[yyyy++o?000017
113,0.766,Nsync-grv=     42303 Nsync-hyd=      9766  :::::rDE****************************************ttttttttttttttxxxxxxxXXXXXXXXXXXXXC9Hy+++++++++++++++++++l""""oo?AA)K7--
114,4.812,Nsync-grv=    578309 Nsync-hyd=    321871  :**********************************************tttttttttttttttxxxxxxxxxXXXXXXXXXXXXXeeeEcC99999999HHHH[[[[yyy+++loA0001F
115,0.835,Nsync-grv=     42309 Nsync-hyd=      9740  ::::rrDe************************************ttttttttttttttxxxxxxXXXXXXXXXXXXXe99H+++++++++++++++++++++++"""""o??AA0kF---
116,6.912,Nsync-grv=   1007778 Nsync-hyd=    585373  :***********************************************ttttttttttttttxxxxxxXXXXXXXXXXXXeeeEEcC9999999999HHHHH[[[yyy+++??A000117
117,0.768,Nsync-grv=     42208 Nsync-hyd=      9721  :::::rrDe****************************************tttttttttttttxxxxXXXXXXXXXXXXdC9Hy++++++++++++++++++++++l""""oo?AA)KT--
118,4.533,Nsync-grv=    578118 Nsync-hyd=    321387  :E************************************************tttttttttttttttttxxxxxxxxxxxxxxXXXXXXXXXeeeEcC99999999HHH[[yy+++"?0007
119,0.866,Nsync-grv=     42217 Nsync-hyd=      9708  ::::rrrd*************************************ttttttttttttttxxxxxxxXXXXXXXXXXXXXXE9Hy++++++++++++++++++l""""o??AAK7------
120,7.348,Nsync-grv=   1107978 Nsync-hyd=    585370  :**********************************************tttttttttttttttxxxxxxXXXXXXXXXXXXXXBeeeEcC999999999HHHH[[[yyyy+++??A00K17
121,0.865,Nsync-grv=     42179 Nsync-hyd=      9680  :::::rDE**********************************tttttttttttttttxxxxxxxxXXXXXXXXXXXXXXE99[+++++++++++++++++++++""""oo??AA)KF---
122,4.371,Nsync-grv=    578092 Nsync-hyd=    321057  :****************************************************ttttttttttttttttxxxxxxxXXXXXXXXXXXXXXeeeEcJ999999999HH[yy++++"?00K7
123,0.746,Nsync-grv=     42151 Nsync-hyd=      9669  ::::::rDE*******************************************tttttttttttxxxXXXXXXXXXXXe99[++++++++++++++++++++++++"""""oo??A)01F-
124,7.384,Nsync-grv=   1007752 Nsync-hyd=    584466  :****************************************ttttttttttttttttttxxxxxxxxxXXXXXXXXXXXXXXXXeeeeECJ999999999HHH[[yy+++o??A0001T7
125,0.860,Nsync-grv=     42192 Nsync-hyd=      9637  ::::rrDE************************************ttttttttttttttttxxxxxxxxXXXXXXXXXXXXXXe99[++++++++++++++++++++"""""o?AA)KF--
126,4.876,Nsync-grv=    578073 Nsync-hyd=    320683  :e******************************************ttttttttttttttttttxxxxxxxxxxxXXXXXXXXXXXXXXeeeEC9999999HHHH[[[yyy+++"?A0001F
127,0.925,Nsync-grv=     42149 Nsync-hyd=      9626  :::::rDE*********************************ttttttttttttttttxxxxxxxxxxxxXXXXXXXXXXJ9H+++++++++++++++++++++l"""oo????AA)KF--
128,8.561,Nsync-grv=   1600000 Nsync-hyd=    584467  r**********************************************ttttttttttttttttttxxxxxxxxxxxxXXXXXXXXXXXXeeeECC99999999HH[[yy+++??A00K1T
129,0.722,Nsync-grv=     42242 Nsync-hyd=      9609  :::::rDD********************************************ttttttttttttxxxxxxxxxXXXXXXc99[+++++++++++++++++++++l"""""o???A)K7--
130,5.006,Nsync-grv=    578232 Nsync-hyd=    320418  :*****************************************tttttttttttttttttxxxxxxxxxxxxxxxxXXXXXXXXXXdeeEcC9999999HHHH[[[yyy++++o?00001-
131,0.801,Nsync-grv=     42281 Nsync-hyd=      9606  :::::rD*************************************tttttttttttttttxxxxxxxXXXXXXXXXXXXXej9Hy+++++++++++++++++++++"""""o???AA0kF-
132,7.274,Nsync-grv=   1007751 Nsync-hyd=    583537  :*******************************************ttttttttttttttttxxxxxxXXXXXXXXXXXXXXXeeeEECC999999999HHH[[yyyy++"??A)00001T7
133,0.763,Nsync-grv=     42171 Nsync-hyd=      9597  :::::rrDe****************************************tttttttttttttxxxxxxxxXXXXXXXXXXE99H[+++++++++++++++++++""""""o???A0KF--
134,4.410,Nsync-grv=    578437 Nsync-hyd=    320218  :E*****************************************************tttttttttttttxxxxxxxxXXXXXXXXXeeeEcC99999999HHHH[[[yyy++++"?0001F
135,0.855,Nsync-grv=     42124 Nsync-hyd=      9593  :::::rrDE*********************************ttttttttttttttxxxxxxxXXXXXXXXXXXXXXe99[++++++++++++++++++++++l""""o???AAK1----
136,7.145,Nsync-grv=   1107944 Nsync-hyd=    583565  r**********************************************ttttttttttttttttxxxxxxxXXXXXXXXXXXXXXeeeEcC9999999999HHH[[yyy++"??A0001T7
137,0.756,Nsync-grv=     42175 Nsync-hyd=      9570  :::::rrDe****************************************tttttttttttttxxxxxxXXXXXXXXXXXE99[+++++++++++++++++++++l""""""o??A)K1--
138,4.932,Nsync-grv=    578475 Nsync-hyd=    319849  :*****************************************tttttttttttttttttttxxxxxxxxxxxxxXXXXXXXXXXXXXXeeeECJ999999HHHH[[yyy++++o?00017
139,0.812,Nsync-grv=     42103 Nsync-hyd=      9531  :::::rrDE**************************************ttttttttttttxxxxXXXXXXXXXXXXXe99Hy+++++++++++++++++++++++"""""o???A01F---
140,6.898,Nsync-grv=   1007832 Nsync-hyd=    582673  :***********************************************tttttttttttttttxxxxxxXXXXXXXXXXXXXXeeeEEcC9999999999HHH[[yyy++"?AI0001T7
141,0.865,Nsync-grv=     41969 Nsync-hyd=      9492  :::::rDE*********************************tttttttttttttttttxxxxxxxxxxxxXXXXXXXXXXXXXXE9Hy++++++++++++++++++""""oo??A0KF--
142,4.582,Nsync-grv=    578854 Nsync-hyd=    319757  :*************************************************ttttttttttttttttxxxxxxxXXXXXXXXXXXXXXXeeeEcC99999999HHH[[yy++++"?)001F
143,0.907,Nsync-grv=     41737 Nsync-hyd=      9410  ::::rrD******************************ttttttttttttttttttxxxxxxxxxxxxXXXXXXXXXXXXXXXXXeC9Hy++++++++++++++++++""""o?AA)KF--
144,7.336,Nsync-grv=   1297385 Nsync-hyd=    582710  r***************************************************ttttttttttttttxxxxxxXXXXXXXXXXXXXeeeEECC999999999HHH[yyy+++??I0001TF
145,0.844,Nsync-grv=     41572 Nsync-hyd=      9354  :::::rrrDe**************************************tttttttttttxxxxXXXXXXXXXeJ9Hy++++++++++++++++++++++++"""""oo???AA0KF----
146,4.789,Nsync-grv=    579288 Nsync-hyd=    319697  :e**************************************************tttttttttttttttxxxxxxxxXXXXXXXXXXeeeEcC99999999HHHH[[yyy++++o?)0001F
